column_name,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,company_id
Return on Equity (Quarter),0.0382,0.0366,0.0371,0.034,0.037700000000000004,0.0383,0.0315,0.0255,0.0227,0.0227,0.0207,-0.0094,-0.0012,0.0019,0.0396,0.0278,0.0365,0.0311,0.0359,0.033100000000000004,0.0393,0.038700000000000005,0.037700000000000004,0.0351,0.0394,0.0351,0.0369,0.041600000000000005,0.0394,0.0173,0.038,0.0402,0.0579,-0.006500000000000001,0.047,0.053700000000000005,0.0478,0.047400000000000005,0.046900000000000004,0.0529,0.0495,0.0501,0.0458,0.046200000000000005,0.0425,0.044500000000000005,0.0393,0.0468,0.0373,0.0434,0.0368,0.0347,0.0479,0.045700000000000005,0.051100000000000007,0.033,0.0354,0.032400000000000005,0.0384,0.0252,0.0268,0.0194,0.010400000000000001,0.0524,BBNI
Return on Capital Employed (Quarter),0.006600000000000001,0.0062,0.0064,0.0061,0.0064,0.0063,0.005200000000000001,0.0032,0.0038,0.0038,0.0034999999999999996,-0.0009,0.0001,0.0006,0.0062,0.0053,0.006600000000000001,0.0055000000000000005,0.0064,0.006600000000000001,0.0067,0.006600000000000001,0.006500000000000001,0.0064,0.0073,0.0064,0.0067,0.0077,0.0076,0.0033000000000000004,0.0074,0.008,0.01,-0.0011,0.0087,0.0101,0.0077,0.0079,0.0079,0.0078000000000000005,0.0087,0.008199999999999999,0.0077,0.008100000000000001,0.0067,0.0068000000000000005,0.0063,0.006500000000000001,0.0062,0.008100000000000001,0.006999999999999999,0.0054,0.0076,0.0054,0.006,0.005200000000000001,0.0034999999999999996,0.0032,0.0045000000000000005,0.0037,0.0032,0.0023,0.0013000000000000002,0.0138,BBNI
Interest Coverage (Quarter),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BBNI
Share Outstanding,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,0.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,0.0,ITMG
EPS (Quarter),1487.59,1652.93,2421.88,4510.86,5979.67,3359.59,2709.84,2568.29,1927.31,971.11,542.69,-42.28,149.72,155.08,223.13,322.56,383.35,385.38,500.98,722.51,1322.18,604.72,707.73,972.74,814.96,567.07,674.05,753.74,374.99,154.95,270.58,-305.51,391.23,247.12,437.63,379.62,265.31,591.03,968.54,593.65,809.9,466.19,618.43,586.4,1040.92,1058.67,1011.47,1562.33,1258.26,828.28,0.0,156.53,389.76,536.35,541.81,513.56,841.78,393.71,1042.44,1195.64,514.53,411.9,154.57,0.0,ITMG
PE Ratio (Quarter),19.48,14.6,16.27,8.65,6.93,9.13,10.54,7.94,10.79,14.62,21.05,-327.58,54.43,45.78,36.3,35.57,32.35,45.54,47.76,28.03,19.55,37.0,40.27,21.28,24.85,30.51,29.97,22.39,29.07,60.5,24.48,-18.74,25.24,52.0,38.62,40.5,97.9,45.68,25.14,48.01,32.47,60.38,57.4,70.86,40.49,33.96,42.96,24.74,31.19,54.03,0.0,324.22,106.73,69.26,70.23,61.92,28.81,50.67,9.5,8.78,42.76,81.69,132.63,0.0,ITMG
Price to Sales (Quarter),3.72,2.96,4.34,2.62,2.5,2.9,3.51,2.15,2.58,2.82,3.12,4.51,2.51,2.4,1.53,2.42,2.39,3.21,4.19,2.88,3.08,3.92,6.19,3.25,3.99,3.85,4.66,3.22,2.78,2.91,1.7,1.53,1.67,2.69,3.41,2.89,4.4,5.31,4.79,4.23,3.65,5.95,7.33,7.21,8.42,6.65,9.25,6.19,7.15,11.86,0.0,13.9,13.79,11.2,11.57,8.86,8.53,7.79,2.79,1.98,6.81,13.85,11.48,0.0,ITMG
EBITDA (Quarter),2299860000000.0,2532390000000.0,3694780000000.0,7675040000000.0,10157280000000.0,6090330000000.0,4800090000000.0,5072680000000.0,4035160000000.0,1928370000000.0,1184790000000.0,761520000000.0,647950000000.0,184380000000.0,861970000000.0,792740000000.0,718000000000.0,731440000000.0,995220000000.0,1667230000000.0,2571030000000.0,1360180000000.0,1369900000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITMG
Return on Assets (Quarter),0.050499999999999996,0.0559,0.0658,0.12380000000000001,0.1778,0.1292,0.1079,0.122,0.10070000000000001,0.05740000000000001,0.035,-0.003,0.0096,0.01,0.0124,0.0217,0.0234,0.0233,0.027000000000000003,0.0391,0.0679,0.0362,0.042300000000000004,0.059699999999999996,0.0507,0.0383,0.0442,0.0524,0.027700000000000002,0.011899999999999999,0.02,-0.0212,0.0232,0.0168,0.029700000000000004,0.026400000000000003,0.0172,0.0412,0.0668,0.0395,0.0524,0.0371,0.04730000000000001,0.045899999999999996,0.0756,0.0833,0.0731,0.1233,0.1075,0.08449999999999999,0.0,0.0181,0.0454,0.05940000000000001,0.0546,0.051500000000000004,0.08710000000000001,0.0441,0.1037,0.126,0.0664,0.05940000000000001,0.024100000000000003,0.0,ITMG
Return on Equity (Quarter),0.0643,0.0694,0.1093,0.1672,0.2277,0.1714,0.1727,0.1681,0.1454,0.0825,0.0472,-0.004,0.013000000000000001,0.0141,0.0177,0.029500000000000002,0.0334,0.0346,0.0464,0.057999999999999996,0.09970000000000001,0.05280000000000001,0.0666,0.08470000000000001,0.0695,0.0525,0.066,0.0699,0.0371,0.015700000000000002,0.0271,-0.03,0.0333,0.0236,0.04360000000000001,0.0384,0.0253,0.059000000000000004,0.0965,0.0571,0.0775,0.0555,0.0795,0.0684,0.1306,0.12369999999999999,0.1036,0.1801,0.1807,0.1225,0.0,0.0273,0.0688,0.08710000000000001,0.09609999999999999,0.0784,0.1362,0.062400000000000004,0.1424,0.2021,0.11789999999999999,0.09960000000000001,0.039900000000000005,0.0,ITMG
Return on Capital Employed (Quarter),0.0697,0.0836,0.1129,0.2169,0.3456,0.265,0.228,0.2786,0.2466,0.11720000000000001,0.0674,0.0374,0.0278,-0.0032,0.04,0.0435,0.0392,0.0402,0.056799999999999996,0.094,0.1593,0.0884,0.0894,0.11720000000000001,0.10779999999999999,0.0733,0.0932,0.1134,0.0489,0.0216,0.0418,0.039700000000000006,0.0637,0.0418,0.065,0.0477,0.051100000000000007,0.0605,0.0812,0.0934,0.1253,0.0736,0.0844,0.1067,0.1323,0.1373,0.14300000000000002,0.2286,0.245,0.3212,0.30010000000000003,0.0888,0.11599999999999999,0.1285,0.1127,0.1034,0.1522,0.10740000000000001,0.1666,0.2882,0.1779,0.12150000000000001,0.0916,0.0,ITMG
Interest Coverage (Quarter),286.39,160.56,0.0,0.0,665.99,420.4,0.0,0.0,439.32,187.59,0.0,0.0,35.76,-4.7,0.0,0.0,139.65,90.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITMG
Share Outstanding,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3730000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,2850000000.0,2850000000.0,0.0,UNTR
EPS (Quarter),1107.86,1579.82,1427.11,1377.57,1477.15,1618.12,1158.35,660.15,885.1,710.14,500.46,178.26,342.43,599.94,488.75,716.49,798.42,699.33,818.38,550.6,963.15,790.43,678.46,473.06,593.94,515.21,402.42,502.7,341.41,301.07,195.84,-460.8,580.74,474.45,438.68,159.48,399.66,457.78,422.61,389.95,286.7,316.6,302.6,351.47,370.35,418.32,409.31,416.11,484.8,333.14,390.08,274.02,322.63,294.87,273.1,258.78,330.08,321.49,246.81,174.79,266.94,243.46,182.91,0.0,UNTR
PE Ratio (Quarter),25.5,14.73,20.39,18.93,22.22,17.55,22.06,33.55,29.38,28.52,44.21,149.22,66.58,27.59,34.58,30.04,25.77,40.32,33.05,49.67,34.26,39.98,47.17,74.83,53.88,53.28,65.85,42.27,51.84,49.16,78.12,-36.78,30.09,42.94,49.69,108.79,49.79,50.46,49.1,48.72,56.85,57.49,60.15,56.05,55.89,51.04,80.62,63.32,45.38,74.74,53.48,83.5,60.94,61.14,64.6,57.59,45.44,29.76,26.3,24.2,34.03,45.91,63.12,0.0,UNTR
Price to Sales (Quarter),3.64,2.57,3.11,3.03,3.94,3.26,3.41,3.82,4.73,3.89,4.61,7.15,6.41,4.15,3.44,4.27,3.44,5.08,4.46,4.34,5.55,5.91,6.28,7.22,7.09,6.5,7.23,6.81,5.83,4.65,5.34,5.72,4.88,6.18,6.43,5.25,5.59,6.32,5.57,5.17,4.9,5.45,5.45,6.22,5.71,5.11,8.19,6.42,5.81,7.16,5.49,8.0,6.72,6.41,6.73,6.24,6.73,4.6,3.1,2.07,3.55,4.68,5.69,0.0,UNTR
EBITDA (Quarter),7784180000000.0,10690080000000.0,9345820000000.0,10003000000000.0,9030090000000.0,10424960000000.0,8069700000000.0,6647220000000.0,6555320000000.0,5705710000000.0,4732060000000.0,4296560000000.0005,4089570000000.0,4421510000000.0,5431890000000.0,5487280000000.0,6770460000000.0,6003590000000.0,6861590000000.0,5929860000000.0,6126080000000.0,5126960000000.0,4628330000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNTR
Return on Assets (Quarter),0.027000000000000003,0.0438,0.0353,0.0366,0.0393,0.0467,0.036000000000000004,0.0219,0.0298,0.0248,0.0177,0.0067,0.0122,0.0215,0.0159,0.0239,0.025,0.0221,0.026099999999999998,0.0177,0.0334,0.0332,0.03,0.0215,0.0278,0.0246,0.0202,0.029300000000000003,0.0209,0.019,0.0118,-0.0279,0.030600000000000002,0.027700000000000002,0.0252,0.0099,0.023799999999999998,0.0278,0.027200000000000002,0.025400000000000002,0.0189,0.022799999999999997,0.0221,0.026099999999999998,0.0275,0.0305,0.032100000000000004,0.0334,0.0409,0.0305,0.0404,0.030699999999999998,0.0386,0.0354,0.0359,0.0353,0.047,0.0481,0.0361,0.0255,0.043899999999999995,0.0405,0.0349,0.0,UNTR
Return on Equity (Quarter),0.0553,0.08199999999999999,0.060300000000000006,0.060700000000000004,0.0695,0.0776,0.0588,0.0359,0.0499,0.040999999999999995,0.0292,0.011000000000000001,0.021,0.0381,0.028900000000000002,0.045899999999999996,0.0533,0.0475,0.0543,0.0382,0.0692,0.0599,0.052300000000000006,0.038900000000000004,0.0504,0.0449,0.0355,0.045899999999999996,0.033100000000000004,0.029500000000000002,0.019,-0.0453,0.0541,0.046200000000000005,0.0426,0.016200000000000003,0.0414,0.048600000000000004,0.0458,0.0438,0.034,0.0391,0.0371,0.0442,0.0487,0.0563,0.055099999999999996,0.059000000000000004,0.07110000000000001,0.0525,0.0746,0.0565,0.0683,0.0671,0.0616,0.0622,0.0819,0.08689999999999999,0.06860000000000001,0.052199999999999996,0.08410000000000001,0.1061,0.084,0.0,UNTR
Return on Capital Employed (Quarter),0.0641,0.09150000000000001,0.0725,0.07940000000000001,0.0789,0.09330000000000001,0.0694,0.0559,0.0533,0.0438,0.0319,0.015,0.0222,0.0253,0.0384,0.0471,0.0563,0.0513,0.0643,0.06860000000000001,0.08130000000000001,0.0676,0.0638,0.0524,0.0635,0.051100000000000007,0.0433,0.047400000000000005,0.0404,0.0358,0.0291,0.0398,0.053700000000000005,0.050800000000000005,0.0408,0.0591,0.0441,0.0497,0.0492,0.048499999999999995,0.0437,0.0388,0.0365,0.0441,0.052300000000000006,0.0632,0.059699999999999996,0.0681,0.0728,0.0658,0.0836,0.0636,0.0678,0.0738,0.07440000000000001,0.0702,0.0867,0.0801,0.08710000000000001,0.0635,0.12150000000000001,0.13369999999999999,0.1931,0.0,UNTR
Interest Coverage (Quarter),9.49,25.3,31.99,29.48,38.95,54.87,36.26,27.49,20.58,18.96,12.97,3.09,5.79,6.13,6.43,6.36,6.92,6.76,8.54,8.27,11.88,14.59,15.92,13.72,13.47,11.06,10.83,11.67,15.46,12.76,17.34,21.61,30.07,28.72,25.68,37.03,29.46,29.21,31.95,26.13,23.11,20.79,23.62,24.58,23.74,28.15,28.26,33.75,26.93,23.12,31.63,24.4,20.44,28.25,28.11,26.68,30.47,28.43,24.63,13.82,18.57,17.15,9.8,0.0,UNTR
Share Outstanding,6750000000.0,6750000000.0,6750000000.0,6750000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,5930000000.0,0.0,SMGR
EPS (Quarter),125.56,45.12,83.18,101.01,142.08,56.38,85.26,111.1,100.07,57.95,75.93,210.83,156.68,27.99,75.27,184.98,136.59,36.53,45.2,167.2,188.15,94.37,69.38,93.45,61.82,58.41,125.86,268.52,162.5,157.02,174.25,223.09,170.79,167.75,200.66,249.13,212.8,256.76,219.66,246.82,222.83,227.31,208.42,245.79,216.79,184.25,170.37,196.31,149.7,168.95,146.82,188.7,151.67,139.82,136.71,155.91,151.89,141.26,116.18,124.72,111.48,104.63,88.06,0.0,SMGR
PE Ratio (Quarter),51.17,134.64,75.74,65.09,52.61,126.37,78.0,65.26,81.94,163.93,137.3,58.93,58.56,343.87,101.3,64.87,84.56,316.86,308.63,68.78,52.75,75.5,149.18,105.94,163.78,171.2,71.51,34.17,62.15,59.55,58.39,51.1,52.99,71.54,68.03,65.03,72.49,58.71,71.93,57.33,58.34,75.23,84.92,64.49,66.65,61.33,71.9,58.33,55.44,56.82,61.98,50.08,65.27,62.58,53.4,48.43,41.48,34.69,32.06,33.47,30.72,38.23,56.78,0.0,SMGR
Price to Sales (Quarter),4.08,5.07,4.76,4.54,4.48,5.19,4.61,3.78,5.33,6.93,7.66,7.72,5.67,7.67,5.27,5.81,5.82,8.35,10.18,7.39,7.23,6.32,9.28,8.09,7.66,9.39,8.34,7.72,9.06,8.6,10.02,8.63,8.29,11.3,12.77,12.58,14.16,13.33,15.17,11.8,12.92,17.25,18.94,15.85,17.11,15.32,16.96,14.24,12.29,14.05,15.19,13.83,16.17,15.2,13.34,11.24,10.28,8.21,6.85,7.26,6.55,7.56,11.6,0.0,SMGR
EBITDA (Quarter),2424030000000.0,1617360000000.0,1883670000000.0,2053409999999.9998,2264340000000.0,1762480000000.0,1866460000000.0,2834380000000.0,2259040000000.0,1664340000000.0,1873500000000.0,2793800000000.0,2808190000000.0,1395310000000.0,2066330000000.0,2805810000000.0,2733590000000.0,1552060000000.0,1606680000000.0,3416900000000.0,2079600000000.0,1400450000000.0,1188080000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMGR
Return on Assets (Quarter),0.010400000000000001,0.0038,0.0069,0.008199999999999999,0.011399999999999999,0.0046,0.006600000000000001,0.008100000000000001,0.0077,0.0046,0.005699999999999999,0.016,0.0116,0.0021,0.005600000000000001,0.013700000000000002,0.0101,0.0028000000000000004,0.0034000000000000002,0.0194,0.022000000000000002,0.011399999999999999,0.0083,0.0113,0.0078000000000000005,0.0070999999999999995,0.0166,0.036000000000000004,0.023700000000000002,0.023799999999999998,0.0263,0.0347,0.0279,0.028700000000000003,0.033100000000000004,0.0431,0.038900000000000004,0.0495,0.0406,0.0475,0.047599999999999996,0.050499999999999996,0.044800000000000006,0.054900000000000004,0.0579,0.049100000000000005,0.0472,0.0592,0.0499,0.0556,0.0518,0.0719,0.0649,0.0576,0.0588,0.0714,0.0768,0.0699,0.060700000000000004,0.0698,0.0688,0.0702,0.0572,0.0,SMGR
Return on Equity (Quarter),0.0199,0.0073,0.013000000000000001,0.016,0.0227,0.0092,0.014199999999999999,0.0171,0.0172,0.0102,0.0134,0.0366,0.0276,0.0051,0.013500000000000002,0.034,0.026000000000000002,0.0072,0.0086,0.0318,0.037000000000000005,0.0193,0.013999999999999999,0.0192,0.0128,0.0123,0.0267,0.054900000000000004,0.0352,0.0352,0.0378,0.0501,0.0401,0.0412,0.046900000000000004,0.061500000000000006,0.055999999999999994,0.0716,0.06620000000000001,0.0701,0.0694,0.0758,0.0664,0.084,0.0809,0.0748,0.0653,0.0805,0.0667,0.08070000000000001,0.0676,0.0932,0.0805,0.08109999999999999,0.0742,0.0907,0.0978,0.10070000000000001,0.0788,0.0917,0.08779999999999999,0.09029999999999999,0.0731,0.0,SMGR
Return on Capital Employed (Quarter),0.023700000000000002,0.0118,0.015600000000000001,0.016200000000000003,0.0245,0.015500000000000002,0.0168,0.029300000000000003,0.0212,0.0146,0.0163,0.025,0.0269,0.0124,0.0187,0.032,0.029900000000000003,0.0148,0.02,0.0364,0.039700000000000006,0.0235,0.018500000000000003,0.0233,0.0182,0.0201,0.026600000000000002,0.0366,0.0409,0.0422,0.0393,0.05740000000000001,0.045700000000000005,0.0438,0.050199999999999995,0.0689,0.0605,0.0788,0.0669,0.07980000000000001,0.0755,0.07730000000000001,0.07150000000000001,0.09330000000000001,0.0893,0.0786,0.0722,0.0932,0.07730000000000001,0.086,0.07769999999999999,0.10289999999999999,0.10220000000000001,0.09380000000000001,0.0917,0.1262,0.12400000000000001,0.1168,0.09789999999999999,0.11970000000000001,0.1128,0.10880000000000001,0.1833,0.0,SMGR
Interest Coverage (Quarter),4.46,2.32,3.22,3.07,4.53,2.55,2.93,3.48,3.35,2.17,2.42,3.01,3.32,1.41,2.09,2.63,2.24,1.21,1.53,6.19,6.54,4.14,3.26,3.97,2.76,4.51,9.87,11.52,15.4,16.92,14.66,17.99,14.67,12.46,20.42,13.77,19.58,24.42,20.76,18.12,22.37,22.34,21.24,21.97,281.12,205.94,229.56,200.75,148.47,194.0,167.67,90.05,297.79,266.5,247.9,272.25,237.11,158.03,207.08,279.9,91.56,109.29,125.11,0.0,SMGR
Share Outstanding,1184360000000.0,1184360000000.0,1184360000000.0,1184360000000.0,1184360000000.0,1184360000000.0,1184360000000.0,1143750000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GOTO
EPS (Quarter),-2.02,-2.79,-3.26,-16.25,-5.63,-6.06,-5.46,-8.58,0.0,0.0,0.0,-8287074.83,0.0,0.0,0.0,-13530790.76,0.0,0.0,0.0,-8267739.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GOTO
PE Ratio (Quarter),-42.08,-39.43,-33.44,-5.6,-43.69,-64.03,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GOTO
Price to Sales (Quarter),27.76,36.69,38.74,31.88,63.77,241.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GOTO
EBITDA (Quarter),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GOTO
Return on Assets (Quarter),-0.0181,-0.0248,-0.028399999999999998,-0.1383,-0.0431,-0.0452,-0.042800000000000005,-0.0632,0.0,0.0,0.0,-0.4719,0.0,0.0,0.0,-1.064,0.0,0.0,0.0,-0.5464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GOTO
Return on Equity (Quarter),-0.0202,-0.0276,-0.0315,-0.15410000000000001,-0.047400000000000005,-0.0495,-0.047599999999999996,-0.0699,0.0,0.0,0.0,-0.7062999999999999,0.0,0.0,0.0,-1.3376,0.0,0.0,0.0,-0.6422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GOTO
Return on Capital Employed (Quarter),-0.0223,-0.0168,-0.0322,-0.0562,-0.04820000000000001,-0.055999999999999994,-0.0555,-0.1308,0.0,0.0,-0.1754,-0.8353,0.0,0.0,0.0,-2.5808,0.0,0.0,0.0,-1.3581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GOTO
Interest Coverage (Quarter),-34.76,-22.98,-53.23,-142.17,-115.65,-123.72,-142.42,-267.87,-99.59,-91.03,-18.67,-54.58,0.0,0.0,0.0,-187.85,0.0,0.0,0.0,-164.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GOTO
